"School","Date Reported","Student Cases","Staff Cases","Student Quarantines","Staff Quarantines","SchoolType"
"Harrison","8/18/2021","1","0","0","0","Elementary"
"Harrison","8/20/2021","0","0","1","0","Elementary"
"Harrison","8/23/2021","0","0","1","0","Elementary"
"Harrison","8/16/2021","1","0","1","0","Elementary"
"Harrison","8/13/2021","1","0","0","0","Elementary"
"Harrison","8/3/2021","0","0","1","0","Elementary"
"Henry Clay","8/25/2021","4","1","46","0","High School"
"Henry Clay","8/1/2021","2","0","2","0","High School"
"Henry Clay","8/16/2021","1","0","1","0","High School"
"Henry Clay","8/3/2021","0","0","1","0","High School"
"Henry Clay","8/14/2021","3","0","1","0","High School"
"Henry Clay","8/12/2021","1","0","1","0","High School"
"Henry Clay","8/11/2021","1","1","4","0","High School"
"Henry Clay","8/23/2021","4","0","19","0","High School"
"Henry Clay","8/10/2021","1","2","1","0","High School"
"Henry Clay","8/4/2021","1","0","0","0","High School"
"Henry Clay","8/20/2021","2","0","29","0","High School"
"Henry Clay","8/17/2021","4","0","1","0","High School"
"Henry Clay","8/19/2021","1","0","45","0","High School"
"Henry Clay","7/29/2021","1","0","0","0","High School"
"Henry Clay","8/22/2021","0","0","21","0","High School"
"Henry Clay","8/13/2021","1","0","2","0","High School"
"Henry Clay","8/24/2021","3","0","61","0","High School"
"Henry Clay","8/2/2021","2","0","0","0","High School"
"Henry Clay","8/21/2021","0","0","18","0","High School"
"Henry Clay","8/8/2021","0","0","1","0","High School"
"James Lane Allen","8/17/2021","1","0","0","0","Elementary"
"James Lane Allen","8/10/2021","0","0","6","0","Elementary"
"James Lane Allen","8/13/2021","1","0","0","0","Elementary"
"James Lane Allen","8/20/2021","0","1","18","0","Elementary"
"James Lane Allen","8/21/2021","1","0","0","0","Elementary"
"James Lane Allen","8/16/2021","0","0","1","0","Elementary"
"James Lane Allen","8/19/2021","0","1","1","0","Elementary"
"James Lane Allen","8/18/2021","1","0","0","0","Elementary"
"James Lane Allen","8/2/2021","0","1","0","0","Elementary"
"James Lane Allen","8/9/2021","0","0","2","0","Elementary"
"Jessie Clark","8/25/2021","2","0","1","0","Middle"
"Jessie Clark","8/16/2021","1","0","2","0","Middle"
"Jessie Clark","8/12/2021","0","0","1","0","Middle"
"Jessie Clark","8/17/2021","3","1","2","1","Middle"
"Jessie Clark","8/9/2021","1","0","0","0","Middle"
"Jessie Clark","8/19/2021","0","0","103","0","Middle"
"Jessie Clark","8/11/2021","1","0","0","0","Middle"
"Jessie Clark","8/3/2021","0","0","2","0","Middle"
"Jessie Clark","8/23/2021","0","0","1","0","Middle"
"Jessie Clark","8/20/2021","2","0","0","0","Middle"
"Jessie Clark","8/22/2021","0","0","148","0","Middle"
"Jessie Clark","8/10/2021","0","0","3","1","Middle"
"Jessie Clark","8/18/2021","1","0","33","0","Middle"
"Jessie Clark","8/5/2021","0","0","1","0","Middle"
"Jessie Clark","8/4/2021","0","0","1","0","Middle"
"Jessie Clark","8/2/2021","0","0","1","0","Middle"
"Jessie Clark","8/21/2021","1","0","41","0","Middle"
"Jessie Clark","8/14/2021","3","0","0","0","Middle"
"Jessie Clark","8/24/2021","0","0","1","0","Middle"
"Jessie Clark","8/15/2021","1","1","0","0","Middle"
"Jessie Clark","8/8/2021","1","0","0","0","Middle"
"Julius Marks","8/25/2021","0","1","0","0","Elementary"
"Julius Marks","8/1/2021","1","0","1","0","Elementary"
"Julius Marks","8/11/2021","2","0","1","0","Elementary"
"Julius Marks","8/16/2021","1","0","3","0","Elementary"
"Julius Marks","8/5/2021","0","0","1","0","Elementary"
"Julius Marks","8/24/2021","2","0","1","0","Elementary"
"Julius Marks","8/13/2021","1","0","1","0","Elementary"
"Julius Marks","8/21/2021","1","0","3","0","Elementary"
"Julius Marks","8/9/2021","0","0","2","0","Elementary"
"Julius Marks","8/19/2021","1","0","7","0","Elementary"
"Julius Marks","8/15/2021","0","0","2","0","Elementary"
"Julius Marks","8/2/2021","0","2","0","0","Elementary"
"Julius Marks","8/14/2021","0","0","2","0","Elementary"
"Lafayette","8/1/2021","0","0","1","0","High School"
"Lafayette","8/25/2021","7","2","1","0","High School"
"Lafayette","8/10/2021","1","0","2","0","High School"
"Lafayette","8/3/2021","1","0","2","0","High School"
"Lafayette","7/28/2021","1","0","2","0","High School"
"Lafayette","8/4/2021","0","0","1","0","High School"
"Lafayette","8/12/2021","2","0","0","0","High School"
"Lafayette","8/9/2021","4","1","7","0","High School"
"Lafayette","7/29/2021","2","0","0","0","High School"
"Lafayette","8/16/2021","2","0","1","0","High School"
"Lafayette","8/14/2021","1","0","1","0","High School"
"Lafayette","8/19/2021","1","0","0","0","High School"
"Lafayette","8/20/2021","1","0","0","0","High School"
"Lafayette","8/11/2021","2","0","0","0","High School"
"Lafayette","8/23/2021","2","1","3","0","High School"
"Lafayette","8/17/2021","1","0","2","0","High School"
"Lafayette","8/15/2021","0","0","2","0","High School"
"Lafayette","8/5/2021","0","0","1","0","High School"
"Lafayette","8/8/2021","1","0","0","0","High School"
"Lafayette","8/2/2021","2","1","1","0","High School"
"Lafayette","8/24/2021","3","0","4","0","High School"
"Lansdowne","8/25/2021","1","1","1","0","Elementary"
"Lansdowne","8/9/2021","0","1","2","0","Elementary"
"Lansdowne","8/17/2021","1","0","1","0","Elementary"
"Lansdowne","8/13/2021","0","0","2","0","Elementary"
"Lansdowne","8/12/2021","0","0","2","0","Elementary"
"Lansdowne","8/21/2021","0","0","2","0","Elementary"
"Lansdowne","8/20/2021","0","0","1","0","Elementary"
"Lansdowne","8/23/2021","1","0","1","0","Elementary"
"Lansdowne","8/24/2021","0","0","1","0","Elementary"
"Lansdowne","8/11/2021","0","0","1","0","Elementary"
"Lansdowne","8/2/2021","1","0","1","0","Elementary"
"Leestown","8/23/2021","2","0","29","0","Middle"
"Leestown","8/18/2021","1","1","1","0","Middle"
"Leestown","8/16/2021","0","0","1","0","Middle"
"Leestown","8/14/2021","2","0","3","0","Middle"
"Leestown","8/5/2021","1","0","0","0","Middle"
"Leestown","8/11/2021","0","0","1","0","Middle"
"Leestown","8/2/2021","0","1","0","0","Middle"
"Leestown","8/9/2021","1","0","8","0","Middle"
"Leestown","8/10/2021","1","0","3","0","Middle"
"Leestown","8/12/2021","0","0","5","0","Middle"
"Leestown","8/17/2021","1","0","0","0","Middle"
"Leestown","7/28/2021","1","0","0","0","Middle"
"Leestown","8/13/2021","1","0","1","0","Middle"
"Leestown","8/4/2021","0","0","1","0","Middle"
"Leestown","8/3/2021","0","0","2","0","Middle"
"Leestown","7/29/2021","1","0","0","0","Middle"
"Liberty","8/14/2021","0","0","3","0","Elementary"
"Liberty","8/1/2021","1","1","3","0","Elementary"
